"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Восстановление пароля","6","0","","0"
"0","","0","Главная страница и конструктор","12","0","","0"
"0","","0","Личный кабинет","6","0","","0"
"0","","0","Лента заказов","10","0","","0"
"0","","0","","0","1","","0"
